set	id	turn1	turn2	turn3	turn4	turn5	turn6
dev	chain2_614_880_810_85_612_356	Is she into dudes?	I don't know her like that.	I hope she is, I am really into her.	Why don't you invite her to the party this weekend?	I would love to, but I'm supposed to bring my girlfriend.	So you have a girlfriend and you're looking at other women???
dev	chain2_403_180_780_977_86_3	Can I have a drink please?	what would you like	I would really like a mimosa.	That sounds like a perfect choice.	Are you having one too?	No, I better not.  One turns into two turns into 12 and before you know it my entire Sunday is gone and I'm blitzed.
dev	chain2_841_1267_1377_898_1195_1083	What is for dinner?	Pizza rolls and whiskey.	That sounds great, shall I bring something too?	Not unless you want to.	Well I did buy this nasty new outfit if you'd like to see it.	I would love to..
dev	chain2_2085_1281_1147_892_1134_801	What movie would you like to watch?	Pirates of the Carribbean.	Not that crappy movie	It's an underrated cult classic!	Right but you watch it at least once a week and quote it all of the time. It's getting old.	The classics never get old!
dev	chain2_1050_970_614_130_314_1066	How long have you been speaking English?	About 10 years.	Wow. Your English is very good.	Thank you, I try really hard to keep improving.	I would like to learn another language as well.	You should!  It takes a while but if you do it every day it's easier.
dev	chain2_533_625_939_891_517_511	How could you break it so easily?	IT WAS AN ACCIDENT.	You should be more careful.	I'm sorry, it won't happen again.	be careful, don't do such thigs again	I was , it just slipped
dev	chain2_186_1172_1096_602_262_619	Is the heat on?	It's on, but to hot.	Yes, I agree.  Let's go turn it down a notch.	Not too cold, please.	I set it to 70 degrees. It was on 75 degrees.	I literally just told :not too cold, were you even listening?
dev	chain2_580_104_68_388_709_12	What is your house wine?	It's a delicious white wine and we're on the last bottle. Would you like some?	Yes, please bring me a glass.	I recommend taking the bottle if you like it.	How much is it for the bottle?	Take it as a gift from me.
dev	chain2_1403_116_1207_40_936_417	Can I get you something to drink?	Yes, I will take a cold soda if you have one.	I have soda, would you like to have extra ice cubes?	Just  a few  in a glass would be  fine	Okay, here you go.	Thank you dear.
dev	chain2_590_660_1164_975_769_770	When is the movie?	Use your phone, Steve. Seriously.	Yeah, come on Steve, get your act on.	My cell battery's dead. Just google the movie theater for me.	Ugh, okay. First world problems, huh?	Gotta love technology!
dev	chain2_1809_1150_374_814_902_731	What is your name?	My name is Bob.  What's yours?	My name is Simon. I was named after the chipmunk.	Simon is the smart one, right?	No, Simon was the dumb one.	Well, he was the funny one too. Haha!
dev	chain2_75_425_1263_301_516_167	Why are you doing this?	It makes me happy	It doesn't really, does it?	No, I'm serious, it actually does.	You enjoy the weirdest things.	Why yes I do
dev	chain3_209_16_32_68_124_213	Did you see that car chase on the news last night?	Are you kidding? I was IN that car chase!	Holy shit!  Did you catch the kid that was speed racing in the end? All I could see on the news was your car go by with the sirens on.	Yeah man , I caught him.	Did you get a reward for your good deed?	Yup, $5 from the police department.
dev	chain2_1184_492_980_1134_230_26	Will you help me?	I do not have time today	That's okay.  What about tomorrow?	Sure, tomorrow is fine.	Are you available at three PM?	Yes I am. Should we meet at your house?
dev	chain3_366_366_330_244_66_114	What are doing later tonight?	I have to go home and study for the big exam tomorrow.	I think I will do the same!	You want to study together ?	Sure! Sounds like a plan.	Cool, you're so smart! I can't wait.
dev	chain3_365_365_329_243_65_113	Hey where did you get that?	I got it at a thrift store in Austin.	very unique! I wish I knew where to get one!	They had several in Austin. You should try there.	But I live in Hong Kong!	They have airplanes, you know.
dev	chain2_1884_442_64_359_81_838	Have you seen our cat?	I saw him in the garden earlier.	Did he look hungry at all?	No he was busy stalking my dog as we crossed into your yard.	Would you mind if I looked in your yard to see if he is there?	You are already standing in my yard, and there's clearly no cat here.
dev	chain2_231_797_280_345_192_38	Can I claim personal injury?	I suppose you can.	My back really hurts from falling off the ladder.	Well maybe you shouldn't climb ladders when you're drunk.	That's probably a good idea.	Yeah, it is a good idea. Haha.
dev	chain2_266_954_380_851_682_631	May I have another?	Yes you may.	Is it okay to give one to Bobby too?	I don't mind at all, but give him the smashed one.	Why not give him the other one that is not smashed?	Because I feel like being mean to him today.
dev	chain2_1013_1242_360_738_22_265	WHo are you going to vote for in November?	I don't know yet. I may move to Canada.	I have a feeling that Canada's population is about to double and leave about 6 people in the US.	And they'll all be mexican.	Most likely, but it may be an improvement.	Couldn't agree more.
dev	chain3_382_395_382_339_236_75	Around what time should I call you next weekend?	Saturday afternoon sounds good.	Alright, I will call you then.	Sure, maybe text me first because I may be running some errands before that.	If I don't respond to your text it may be because I am in the shower.	What if I just call you?
dev	chain3_122_275_181_350_257_110	Why did you want to go there?	Because I've never been to an adult theatre before, and I just want to see what it's like.	What did you think of it?	It was pretty dirty.  Disgusting, actually. From now on I'm just watching Netflix at home.	Indeed. Popcorn at home would be fresher too.	Although I can't find any X-rated films on Netflix.
dev	chain2_1091_587_1095_599_1094_899	What's your favorite videogame?	I do not play many video games but since you asked, it would be Candy Crush.	That's not a real video game.	Oh really? What makes a real video game, then?	Is it you who's been sending me all those Candy Crush invites?	You better watch your tone there, Mr. Sanders.  I am going to break the glass ceiling on Candy Crush success!
dev	chain2_274_1027_829_165_1181_4	Why is that bill so high?	It's because we had that water leak	Yeah, that is right.  Hopefully we can get the leak fixed as soon as possible.	How much will it cost?	A lot. We'll be living on raman noodles for a while.	Good thing I love raman!
dev	chain3_210_17_36_74_135_226	Do you have any big plans for the holiday weekend?	Yes, I'm hoping to go visit friends in Toronto.  How about you?	I plan to go to garage sales.	Are you looking for something special?	Yes, Im looking for a dresser.	I have an antique dresser in my attic you may be interested in.
dev	chain2_778_651_545_1264_343_835	When do we eat?	We'll be eating shortly.	I'm not really hungry.	Do you want to push back dinner, then?	No, you can go ahead and eat and I will have something a bit later.	okay, i'll have then
dev	chain2_397_528_1199_1144_748_819	When is the graduation for the high school this year?	Its in late May.	Do you know the date?	Not offhand, but I can get it for you.	Please do; I'd really like to attend if I can.	I have the perfect dress to wear
dev	chain2_1281_1084_639_275_38_271	How come she gets the larger steak?	Because she paid for the larger steak.	I guess you get what you pay for.	You can say that again.	Next time I should probably order the larger one.	That would be my suggestion.
dev	chain2_2101_172_1031_197_658_58	Do you know what happened to my shirt?	I think the dog ate it	That must be a joke.	OK, the dog just mauled it.	Your right my shirt is ruined.	Thankfully it wasn't one of your favorites!!
dev	chain2_1786_5_690_521_715_130	How have you been?	Pretty good, you?	Not really.  My mother died last month. It's so hard on us all right now.	I'm so sorry to hear that!	She had been sick for a while, so it was kind of expected.	My Heartily condolences go to you and your family.
dev	chain3_118_267_165_319_201_6	Is the line to the bathroom really long?	yes the line to the bathroom is long like the Disneyland lines.	Oh, then I will just wait until we get home.	Probably your best option.	Then we probably need to leave now since they never have enough stalls for women.	Okay, let's go. I don't want you to have an accident.
dev	chain3_360_352_305_202_9_13	What is wrong with you?	Nothing at all, why?	You were really mean to the new girl.	She's my step-sister! And she purposely wrecked my shoes last night!	Oh....well then, of course it's alright to be mean to her then.	Wow, it didn't take much for you to see me point of view.
dev	chain2_1600_595_1403_13_477_720	When do you have to be home?	I need to be home by 11pm.	I think we can manage that. The movie is over at 10:30.	You think we should bring a blanket?	Yeah I think we should! Can you bring one? I don't think I have any at home.	Sure, I will bring the blanket.
dev	chain2_2105_871_144_935_1086_551	What made you wake up early?	I have to go to work.	I meant earlier this morning because I could hear you downstairs coughing.	Oh, that. I think it was just the fact that the room was light.	If the light wakes you up, you should pull the shades down before you go to sleep every night. You woke me up moving around and coughing.	I am so sorry about that! I will be careful next time.
